Time resolution is 1 ps
Time: 0 | State: 00 | Score:    0 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 25000 | State: 01 | Score:    0 | Level:  1 | Life Span:         60 | Gen Interval:         60
$finish called at time : 130 ns : File "D:/WorkStations/ASIC/Whac-A-Mole/tb/OVERALL_FSM_tb.v" Line 93
Time: 5515000 | State: 01 | Score:    1 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 5525000 | State: 01 | Score:    1 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 6735000 | State: 10 | Score:    1 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 7565000 | State: 10 | Score:    3 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 7975000 | State: 10 | Score:    6 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 9205000 | State: 10 | Score:    8 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 9215000 | State: 10 | Score:    8 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 10045000 | State: 10 | Score:   11 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 11295000 | State: 10 | Score:   11 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 11305000 | State: 10 | Score:   15 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 11415000 | State: 10 | Score:   20 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 12285000 | State: 10 | Score:   20 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 12295000 | State: 10 | Score:   25 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 12905000 | State: 10 | Score:   31 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 17775000 | State: 10 | Score:   31 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 23265000 | State: 10 | Score:   31 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 23275000 | State: 10 | Score:   38 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 25105000 | State: 10 | Score:   45 | Level:  7 | Life Span:         60 | Gen Interval:         60
